First Word,Average Calories per 100g
almond butter,612
almond milk,43
apple juice,48
apples,52
applesauce,75
apricot,47
arugula,25
asparagus,20
avocado,166
bananas,88
beans,31
beef,198
beets,42
bison,145
blackberries,43
blackeye pea,285
blueberries,56
bread,272
broccoli,34
brussels sprouts,43
buckwheat,342
bulgur,82
butter,720
buttermilk,62
cabbage,24
carrots,40
cauliflower,25
celery,13
cheese,403
cherries,63
chia seeds,492
chicken,143
chickpeas,386
chickpeas (garbanzo beans,378
collards,33
cookies,465
corn,86
corn flour,360
cottage cheese,87
cranberry juice,45
cream,340
cream cheese,340
crustaceans,84
cucumber,15
description,0
egg,144
eggplant,25
eggs,144
einkorn,354
farro,369
figs,73
fish,911
flaxseed,550
flour,340
fonio,377
frankfurter,290
garlic,149
grape juice,64
grapefruit juice,38
grapes,26
green onion,26
ham,267
hummus,240
juice,22
kale,35
ketchup,117
khorasan,337
kiwifruit,61
kiwifruit (kiwi),68
lamb,285
leeks,60
lentils,352
lettuce,15
mandarin,52
mango,60
melons,33
milk,299
millet,378
mushroom,21
mushrooms,21
mustard,60
nectarines,44
nuts,579
oat milk,50
oats,245
oil,850
olives,850
onion rings,500
onions,40
orange juice,45
oranges,45
pawpaw,12
peaches,38
peanut butter,587
peanuts,575
pear,57
pears,57
peas,80
peppers,26
pickles,10
pineapple,50
plantains,152
plum,46
pork,267
potatoes,57
raspberries,52
restaurant,195
rice,367
rutabaga,36
salt,0
sauce,92
sausage,290
seeds,550
sesame butter,587
shallots,72
sorghum,329
sorghum bran,245
sorghum flour,358
sorghum grain,329
soy milk,63
spinach,23
squash,21
strawberries,32
sugars,392
sweet potatoes,85
tomatillos,32
tomato,26
tomato juice,15
tomatoes,26
turkey,147
wild rice,356
yogurt,58
