description,Iron(Milligrams),Calcium(Milligrams),Potassium(Milligrams),Vitamin A(Micrograms),Vitamin C(Milligrams),Vitamin D(Micrograms),Protein(Grams),Zinc(Milligrams),Magnesium(Milligrams),Vitamin B-12(Micrograms)
"Hummus, commercial",2.41,41.0,289.0,1.0,0.0,0.0,7.35,1.38,71.1,0.0
"Tomatoes, grape, raw",0.33,11.0,260.0,0.0,27.2,0.0,0.83,0.2,11.9,0.0
"Beans, snap, green, canned, regular pack, drained solids",0.78,36.0,97.0,0.0,0.0,0.0,1.04,0.19,12.7,0.0
"Frankfurter, beef, unheated",1.14,15.0,343.0,3.0,0.0,0.0,11.7,2.06,11.5,0.97
"Nuts, almonds, dry roasted, with salt added",3.17,273.0,684.0,2.0,0.0,0.0,20.4,2.8,258.0,0.0
"Kale, raw",1.6,254.0,348.0,241.0,93.4,0.0,2.92,0.39,32.7,0.0
"Egg, whole, raw, frozen, pasteurized",1.77,55.0,117.0,0.0,0.0,2.3,12.3,1.2,11.2,0.0
"Egg, white, raw, frozen, pasteurized",0.18,9.0,130.0,0.0,0.0,0.0,10.1,0.02,10.6,0.0
"Egg, white, dried",0.0,104.0,959.0,0.0,0.0,0.0,79.9,0.43,87.6,0.0
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1.14,28.0,135.0,0.0,1.6,0.0,4.52,0.59,20.4,0.0
"Pickles, cucumber, dill or kosher dill",0.23,54.0,112.0,4.0,2.1,0.0,0.48,0.11,7.1,0.0
"Cheese, parmesan, grated",0.45,884.0,184.0,228.0,0.0,0.0,29.6,4.33,34.9,1.35
"Cheese, pasteurized process, American, vitamin D fortified",0.48,866.0,149.0,300.0,0.0,7.5,18.0,2.42,25.1,1.45
"Grapefruit juice, white, canned or bottled, unsweetened",0.07,16.0,141.0,0.0,39.4,0.0,0.55,0.04,9.6,0.0
"Peaches, yellow, raw",0.34,4.0,122.0,24.0,4.1,0.0,0.91,0.23,8.0,0.0
"Seeds, sunflower seed kernels, dry roasted, with salt added",5.21,78.0,689.0,1.0,0.0,0.0,21.0,6.0,358.0,0.0
"Bread, white, commercially prepared",3.36,211.0,117.0,0.0,0.0,0.0,9.43,0.88,26.9,0.0
