fdcId,description,Calcium(Milligrams),Calories,Iron(Milligrams),Magnesium(Milligrams),Potassium(Milligrams),Protein(Grams),Vitamin A(Micrograms),Vitamin B-12(Micrograms),Vitamin C(Milligrams),Vitamin D(Micrograms),Zinc(Milligrams)
2705384,"Milk, NFS",125.0,52.0,0.0,12.0,156.0,3.33,58.0,0.56,0.1,1.1,0.43
2705385,"Milk, whole",123.0,61.0,0.0,12.0,150.0,3.27,32.0,0.54,0.0,1.1,0.42
2705386,"Milk, reduced fat (2%)",126.0,50.0,0.0,12.0,159.0,3.36,83.0,0.55,0.2,1.1,0.43
2705387,"Milk, low fat (1%)",126.0,43.0,0.0,12.0,159.0,3.38,58.0,0.61,0.0,1.1,0.43
2705388,"Milk, fat free (skim)",132.0,34.0,0.0,12.0,167.0,3.43,64.0,0.58,0.0,1.1,0.45
2705389,"Milk, lactose free, low fat (1%)",126.0,43.0,0.0,12.0,159.0,3.38,58.0,0.61,0.0,1.1,0.43
2705390,"Milk, lactose free, fat free (skim)",132.0,34.0,0.0,12.0,167.0,3.43,64.0,0.58,0.0,1.1,0.45
2705391,"Milk, lactose free, reduced fat (2%)",126.0,50.0,0.0,12.0,159.0,3.36,83.0,0.55,0.2,1.1,0.43
2705392,"Milk, lactose free, whole",123.0,61.0,0.0,12.0,150.0,3.27,32.0,0.54,0.0,1.1,0.42
2705396,"Milk, dry, reconstituted, nonfat",114.0,32.0,0.03,11.0,159.0,3.2,58.0,0.36,0.6,1.0,0.37
2705397,"Milk, dry, reconstituted, whole",142.0,76.0,0.07,14.0,203.0,4.01,39.0,0.5,1.3,1.6,0.52
2705398,"Milk, evaporated, NS as to fat content",261.0,134.0,0.19,24.0,303.0,6.81,65.0,0.16,1.9,2.0,0.77
2705399,"Milk, evaporated, whole",261.0,134.0,0.19,24.0,303.0,6.81,65.0,0.16,1.9,2.0,0.77
2705400,"Milk, evaporated, reduced fat (2%)",285.0,92.0,0.28,27.0,326.0,7.42,131.0,0.24,1.2,2.0,0.88
2705401,"Milk, evaporated, fat free (skim)",290.0,78.0,0.29,27.0,332.0,7.55,118.0,0.24,1.2,2.0,0.9
2705402,"Milk, condensed, sweetened",284.0,321.0,0.19,26.0,371.0,7.91,74.0,0.44,2.6,0.2,0.94
2705404,"Soy milk, sweetened",97.0,53.0,0.52,21.0,152.0,3.41,56.0,0.37,0.0,0.7,0.3
2705405,"Soy milk, unsweetened",101.0,38.0,0.54,22.0,158.0,3.55,58.0,0.39,0.0,0.7,0.31
2705406,"Soy milk, chocolate",94.0,64.0,0.55,22.0,151.0,3.35,54.0,0.36,0.0,0.6,0.31
2705407,"Almond milk, sweetened",166.0,30.0,0.28,7.0,30.0,0.53,39.0,0.33,0.0,0.9,0.16
2705408,"Almond milk, chocolate",161.0,43.0,0.31,8.0,33.0,0.57,38.0,0.32,0.0,0.8,0.18
2705409,"Almond milk, unsweetened",173.0,15.0,0.29,7.0,31.0,0.55,41.0,0.34,0.0,0.9,0.17
2705410,"Almond milk, NFS",171.0,20.0,0.29,7.0,31.0,0.54,41.0,0.34,0.0,0.9,0.17
2705412,Oat milk,155.0,45.0,0.21,8.0,18.0,0.66,0.0,0.5,0.0,1.7,0.19
2705414,"Yogurt, NFS",136.0,94.0,0.07,13.0,179.0,6.67,25.0,0.62,1.0,0.6,0.62
2705415,"Yogurt, Greek, NS as to type of milk or flavor",100.0,91.0,0.12,10.0,133.0,9.11,9.0,0.62,1.0,0.9,0.47
2705416,"Yogurt, NS as to type of milk or flavor",160.0,93.0,0.14,15.0,212.0,4.57,12.0,0.48,1.9,1.2,0.77
2705417,"Yogurt, NS as to type of milk, plain",183.0,63.0,0.08,17.0,234.0,5.25,14.0,0.56,0.8,1.2,0.89
2705418,"Yogurt, whole milk, plain",127.0,78.0,0.0,11.0,164.0,3.82,48.0,0.37,0.5,1.2,0.43
2705419,"Yogurt, low fat milk, plain",183.0,63.0,0.08,17.0,234.0,5.25,14.0,0.56,0.8,1.2,0.89
2705420,"Yogurt, nonfat milk, plain",167.0,50.0,0.0,15.0,210.0,4.23,0.0,0.61,0.9,1.2,0.6
2705421,"Yogurt, Greek, NS as to type of milk, plain",110.0,67.0,0.07,11.0,140.0,10.2,9.0,0.69,0.0,0.0,0.52
2705422,"Yogurt, Greek, whole milk, plain",111.0,94.0,0.0,11.0,147.0,8.78,38.0,0.75,0.0,0.0,0.47
2705423,"Yogurt, Greek, low fat milk, plain",110.0,67.0,0.07,11.0,140.0,10.2,9.0,0.69,0.0,0.0,0.52
2705424,"Yogurt, Greek, nonfat milk, plain",111.0,59.0,0.07,11.0,141.0,10.3,1.0,0.7,0.0,0.0,0.53
2705425,"Yogurt, NS as to type of milk, fruit",160.0,93.0,0.14,15.0,212.0,4.57,12.0,0.48,1.9,1.2,0.77
2705426,"Yogurt, whole milk, fruit",112.0,106.0,0.07,10.0,152.0,3.34,41.0,0.32,1.7,1.2,0.38
2705427,"Yogurt, low fat milk, fruit",160.0,93.0,0.14,15.0,212.0,4.57,12.0,0.48,1.9,1.2,0.77
2705428,"Yogurt, nonfat milk, fruit",144.0,46.0,0.0,13.0,181.0,3.64,0.0,0.52,0.9,1.2,0.52
2705429,"Yogurt, Greek, NS as to type of milk, fruit",100.0,91.0,0.12,10.0,133.0,9.11,9.0,0.62,1.0,0.9,0.47
2705430,"Yogurt, Greek, whole milk, fruit",101.0,114.0,0.05,10.0,139.0,7.85,34.0,0.67,1.0,0.9,0.42
2705431,"Yogurt, Greek, low fat milk, fruit",100.0,91.0,0.12,10.0,133.0,9.11,9.0,0.62,1.0,0.9,0.47
2705432,"Yogurt, Greek, nonfat milk, fruit",101.0,83.0,0.12,10.0,134.0,9.21,1.0,0.62,1.0,0.9,0.48
2705433,"Yogurt, NS as to type of milk, flavors other than fruit",158.0,82.0,0.07,15.0,201.0,4.51,12.0,0.48,0.7,1.2,0.77
2705434,"Yogurt, whole milk, flavors other than fruit",109.0,95.0,0.0,10.0,141.0,3.28,41.0,0.32,0.4,1.2,0.37
2705435,"Yogurt, low fat milk, flavors other than fruit",158.0,82.0,0.07,15.0,201.0,4.51,12.0,0.48,0.7,1.2,0.77
2705436,"Yogurt, nonfat milk, flavors other than fruit",144.0,47.0,0.0,13.0,181.0,3.64,0.0,0.52,0.8,1.2,0.52
2705437,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",98.0,81.0,0.06,10.0,124.0,9.07,9.0,0.62,0.0,0.9,0.47
2705438,"Yogurt, Greek, whole milk, flavors other than fruit",99.0,104.0,0.0,10.0,131.0,7.81,34.0,0.67,0.0,0.9,0.42
2705439,"Yogurt, Greek, low fat milk, flavors other than fruit",98.0,81.0,0.06,10.0,124.0,9.07,9.0,0.62,0.0,0.9,0.47
2705440,"Yogurt, Greek, nonfat milk, flavors other than fruit",99.0,73.0,0.06,10.0,126.0,9.17,1.0,0.62,0.0,0.9,0.47
2705441,"Yogurt, Greek, with oats",89.0,149.0,0.66,29.0,161.0,9.22,7.0,0.49,0.0,0.7,0.89
2705442,"Yogurt, liquid",129.0,74.0,0.11,12.0,170.0,3.65,10.0,0.39,1.5,1.2,0.62
2705445,"Onion dip, yogurt based",93.0,160.0,0.08,10.0,126.0,6.82,66.0,0.42,1.1,0.2,0.47
2705501,"Milk, malted",159.0,66.0,0.71,21.0,149.0,3.19,114.0,0.53,2.4,1.4,1.0
2705585,"Milk, dry, not reconstituted",1260.0,362.0,0.32,110.0,1790.0,36.2,653.0,4.03,6.8,11.0,4.08
2705590,"Milk, malted, dry mix, not reconstituted",909.0,372.0,16.4,218.0,0.0,0.0,1360.0,0.0,54.5,9.1,13.6
2705592,"Cream, NS as to light, heavy, or half and half",107.0,131.0,0.05,10.0,132.0,3.13,97.0,0.19,0.9,0.0,0.39
2705593,"Cream, light",91.0,195.0,0.05,9.0,136.0,2.96,120.0,0.14,0.8,1.1,0.32
2705594,"Cream, half and half",107.0,131.0,0.05,10.0,132.0,3.13,97.0,0.19,0.9,0.0,0.39
2705595,"Cream, half and half, flavored",105.0,130.0,0.05,10.0,129.0,3.07,95.0,0.19,0.9,0.0,0.38
2705596,"Cream, half and half, fat free",96.0,59.0,0.0,16.0,206.0,2.6,12.0,0.52,0.7,0.0,0.81
