first_word,Mean Nutrient Difference
"chickpeas,",122.80895833333334
"beans,",97.7484027777778
"lentils,",92.515
sesame,80.4415
"garlic,",76.17124999999999
peanut,53.16864130434782
"bulgur,",51.8125
soy,47.405625
"tomato,",43.264374999999994
"apricot,",40.63
"egg,",40.25703703703704
"collards,",39.00625
"milk,",36.74402960526316
chia,35.595000000000006
"sauce,",31.886874999999996
corn,31.485576923076927
"rice,",26.555866071428568
wild,25.28625
brussels,25.21458333333333
"cookies,",25.1375
oat,21.888125
"spinach,",18.66117647058823
"beets,",17.018906249999997
sweet,16.35608333333333
"sausage,",16.337687499999998
"squash,",15.385583333333336
"cheese,",14.851939488910329
"mushroom,",14.501527777777774
"avocado,",13.46625
"mushrooms,",13.330397727272729
"broccoli,",12.715312500000001
"asparagus,",12.537053571428572
green,12.467215909090909
orange,12.131
"pork,",11.90170608108108
"lamb,",11.342083333333333
grape,11.3371875
"bread,",11.188248873873874
"peanuts,",11.079999999999998
"ham,",10.93015625
"fish,",10.640069137168142
tomato,10.300624999999997
"pineapple,",10.078333333333333
"beef,",10.043822751322752
"rutabaga,",9.46375
"mango,",8.8496875
"kale,",8.529791666666668
"lettuce,",8.147062500000002
"plum,",7.825
"cauliflower,",7.678333333333334
"olives,",7.483437500000001
cream,7.467187499999999
"peppers,",7.315539772727273
onion,7.069999999999999
apple,6.9520833333333325
"corn,",6.777797619047619
"cherries,",6.285250000000001
"pear,",6.1604166666666655
"strawberries,",6.062916666666668
"onions,",5.909322916666665
almond,5.605993589743597
"turkey,",5.222695312499999
"blueberries,",5.171250000000001
cranberry,5.136874999999998
grapefruit,5.0325
"ketchup,",4.72
"nuts,",4.557375000000007
"blackberries,",4.286875
"butter,",3.985625
"carrots,",3.498985507246377
"cabbage,",3.3111607142857156
"chicken,",3.3008708708708676
"oats,",2.0412500000000002
cottage,1.7699999999999994
"cream,",1.769732142857143
"pickles,",1.6553125000000002
"tomatoes,",1.6340625
"eggplant,",1.4685
"cucumber,",1.4679166666666668
"yogurt,",1.3072109375000007
"celery,",0.8628124999999998
"applesauce,",0.8566666666666678
"hummus,",0.4174999999999992
"grapes,",0.09437500000000013
"raspberries,",0.07499999999999973
