Food,Primary Nutrient (by %DV),% Daily Value
"Fish, salmon, Atlantic, farm raised, raw",Vitamin B-12,237.5
"Fish, salmon, sockeye, wild caught, raw",Vitamin B-12,215.0
"Mango, Ataulfo, peeled, raw",Vitamin C,186.7
"Peppers, bell, orange, raw",Vitamin C,175.6
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Vitamin B-12,175.4
"Egg, white, dried",Protein,159.8
"Brussels sprouts, raw",Vitamin C,158.9
"Peppers, bell, red, raw",Vitamin C,157.8
"Peppers, bell, yellow, raw",Vitamin C,154.4
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",Vitamin B-12,130.0
"Cheese, swiss",Vitamin B-12,125.8
"Seeds, pumpkin seeds (pepitas), raw",Magnesium,119.0
"Cheese, pasteurized process cheese food or product, American, singles",Calcium,115.4
"Arugula, baby, raw",Vitamin C,112.2
"Peppers, bell, green, raw",Vitamin C,110.6
"Fish, tuna, light, canned in water, drained solids",Vitamin B-12,107.1
"Kale, raw",Vitamin C,103.8
"Flour, soy, defatted",Protein,102.2
"Broccoli, raw",Vitamin C,101.4
"Collards, raw",Vitamin C,99.3
"Egg, whole, dried",Protein,96.2
"Fish, catfish, farm raised, raw",Vitamin B-12,94.6
"Flaxseed, ground",Magnesium,88.6
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Vitamin B-12,85.8
"Seeds, sunflower seed kernels, dry roasted, with salt added",Magnesium,85.2
"Sesame butter, creamy",Magnesium,85.0
"Butter, stick, salted",Vitamin A,84.2
"Nuts, brazilnuts, raw",Magnesium,83.6
"Kiwifruit, green, raw",Vitamin C,83.0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Vitamin B-12,82.5
"Pork, cured, bacon, cooked, restaurant",Protein,81.8
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",Vitamin B-12,79.2
"Sorghum bran, white, unenriched, dry, raw",Iron,78.9
"Egg, yolk, dried",Vitamin D,78.5
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Vitamin B-12,78.3
"Chia seeds, dry, raw",Magnesium,77.6
"Flour, soy, full-fat",Protein,77.2
"Fish, haddock, raw",Vitamin B-12,76.2
"Cauliflower, raw",Vitamin C,74.6
"Cheese, parmesan, grated, refrigerated",Calcium,73.1
"Seeds, sunflower seed, kernel, raw",Magnesium,71.9
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Vitamin B-12,71.7
"Cheese, dry white, queso seco",Vitamin B-12,70.8
"Cheese, mozzarella, low moisture, part-skim",Vitamin B-12,68.8
"Cheese, parmesan, grated",Calcium,68.0
"Fish, pollock, raw",Vitamin B-12,67.9
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Vitamin B-12,67.5
"Flour, potato",Iron,66.7
"Cheese, pasteurized process, American, vitamin D fortified",Calcium,66.6
"Strawberries, raw",Vitamin C,66.2
"Oranges, raw, navels",Vitamin C,65.7
"Kiwifruit (kiwi), green, peeled, raw",Vitamin C,65.3
"Pineapple, raw",Vitamin C,65.1
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Protein,64.2
"Almond butter, creamy",Magnesium,63.8
"Nuts, almonds, dry roasted, with salt added",Magnesium,61.4
"Nuts, almonds, whole, raw",Magnesium,61.4
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",Vitamin C,61.3
"Cabbage, red, raw",Vitamin C,59.9
"Flour, almond",Magnesium,59.8
"Nuts, cashew nuts, raw",Magnesium,59.8
"Flour, coconut",Magnesium,59.0
"Cheese, provolone, sliced",Calcium,57.6
"Apple juice, with added vitamin C, from concentrate, shelf stable",Vitamin C,56.9
"Flour, amaranth",Magnesium,55.5
"Soy milk, sweetened, plain, refrigerated",Vitamin B-12,55.4
"Tomato juice, with added ingredients, from concentrate, shelf stable",Vitamin C,55.3
"Cheese, monterey jack, solid",Calcium,55.0
"Cheese, cheddar",Calcium,54.4
"Cheese, cotija, solid",Calcium,53.8
"Beans, Dry, Tan (0% moisture)",Protein,53.6
"Wild rice, dry, raw",Zinc,53.1
"Fish, cod, Atlantic, wild caught, raw",Vitamin B-12,52.1
"Nuts, pine nuts, raw",Zinc,51.9
"Beans, Dry, Dark Red Kidney (0% moisture)",Protein,51.8
"Beans, Dry, Brown (0% moisture)",Protein,51.2
"Beans, Dry, Medium Red (0% moisture)",Protein,51.0
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",Vitamin C,50.7
"Beef, flank, steak, boneless, choice, raw",Zinc,50.5
"Beans, Dry, Carioca (0% moisture)",Protein,50.4
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Vitamin B-12,50.4
"Beans, Dry, Light Red Kidney (0% moisture)",Protein,50.0
"Sausage, turkey, breakfast links, mild, raw",Vitamin B-12,50.0
"Beans, Dry, Great Northern (0% moisture)",Protein,49.4
"Beans, Dry, Light Tan (0% moisture)",Protein,49.2
"Beef, chuck, roast, boneless, choice, raw",Zinc,49.0
"Beans, Dry, Small White (0% moisture)",Protein,49.0
"Beans, Dry, Cranberry (0% moisture)",Protein,48.8
"Beans, Dry, Black (0% moisture)",Protein,48.8
"Applesauce, unsweetened, with added vitamin C",Vitamin C,48.6
"Lettuce, cos or romaine, raw",Vitamin A,48.4
"Buckwheat, whole grain",Magnesium,48.3
"Beans, Dry, Navy (0% moisture)",Protein,48.2
"Peanut butter, creamy",Protein,48.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Protein,47.8
"Einkorn, grain, dry, raw",Zinc,47.5
"Beans, Dry, Pinto (0% moisture)",Protein,47.4
"Lentils, dry",Protein,47.2
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Vitamin B-12,47.1
"Beans, Dry, Small Red (0% moisture)",Protein,47.0
"Beans, Dry, Pink (0% moisture)",Protein,46.8
"Beans, Dry, Flor de Mayo (0% moisture)",Protein,46.6
"Peanuts, raw",Protein,46.4
"Cheese, queso fresco, solid",Calcium,46.3
"Pork, chop, center cut, raw",Protein,45.6
"Chicken, breast, boneless, skinless, raw",Protein,45.0
"Cabbage, green, raw",Vitamin C,44.8
"Cheese, oaxaca, solid",Protein,44.2
"Sausage, Italian, pork, mild, cooked, pan-fried",Vitamin B-12,44.2
"Beef, top sirloin steak, raw",Protein,44.0
"Blackeye pea, dry",Magnesium,43.8
"Grapefruit juice, white, canned or bottled, unsweetened",Vitamin C,43.8
"Pork, loin, tenderloin, boneless, raw",Protein,43.2
"Beans, cannellini, dry",Protein,43.2
"Beef, round, top round, boneless, choice, raw",Protein,43.0
"Chicken, breast, meat and skin, raw",Protein,42.8
"Beans, Dry, Red (0% moisture)",Protein,42.6
"Beef, short loin (NY strip steak), raw",Protein,42.6
"Chickpeas, (garbanzo beans, bengal gram), dry",Protein,42.6
"Eggs, Grade A, Large, egg whole",Vitamin B-12,42.5
"Pork, loin, boneless, raw",Protein,42.2
"Beef, tenderloin steak, raw",Protein,42.2
"Crustaceans, shrimp, farm raised, raw",Vitamin B-12,41.7
"Nuts, pistachio nuts, raw",Protein,41.0
"Khorasan, grain, dry, raw",Zinc,40.5
"Frankfurter, beef, unheated",Vitamin B-12,40.4
"Flour, buckwheat",Magnesium,39.8
"Bison, ground, raw",Protein,39.8
"Cheese, feta, whole milk, crumbled",Protein,39.4
"Ham, sliced, restaurant",Protein,39.2
"Cheese, American, restaurant",Calcium,39.1
"Flour, quinoa",Magnesium,39.0
"Beef, ground, 90% lean meat / 10% fat, raw",Zinc,38.1
"Fish, tilapia, farm raised, raw",Protein,38.0
"Beef, ribeye, steak, boneless, choice, raw",Protein,37.4
"Chicken, thigh, boneless, skinless, raw",Protein,37.2
"Nuts, hazelnuts or filberts, raw",Magnesium,37.1
"Chicken, drumstick, meat and skin, raw",Protein,36.8
"Chicken, wing, meat and skin, raw",Protein,36.8
"Farro, pearled, dry, raw",Zinc,36.1
"Chicken, ground, with additives, raw",Protein,35.8
"Nuts, pecans, halves, raw",Zinc,35.7
"Pork, ground, raw",Protein,35.6
"Beef, ground, 80% lean meat / 20% fat, raw",Protein,35.0
"Lamb, ground, raw",Protein,35.0
"Turkey, ground, 93% lean/ 7% fat, raw",Protein,34.6
"Chicken, thigh, meat and skin, raw",Protein,34.2
"Spinach, mature",Vitamin A,34.0
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",Vitamin C,33.9
"Nuts, walnuts, English, halves, raw",Magnesium,33.8
"Cabbage, bok choy, raw",Vitamin C,33.7
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",Protein,33.4
"Flour, spelt, whole grain",Zinc,32.6
"Cheese, ricotta, whole milk",Vitamin B-12,32.5
"Sorghum, whole grain, white, dry, raw",Magnesium,32.4
"Eggs, Grade A, Large, egg yolk",Protein,32.4
"Flour, whole wheat, unenriched",Magnesium,32.4
"Spinach, baby",Vitamin A,31.4
"Flour, wheat, all-purpose, enriched, bleached",Iron,31.2
"Egg, yolk, raw, frozen, pasteurized",Protein,31.2
"Flour, bread, white, enriched, unbleached",Iron,30.8
"Pawpaw, peeled, seeded, raw",Vitamin C,30.7
"Oats, whole grain, steel cut",Magnesium,30.7
"Pork, belly, with skin, raw",Protein,30.4
"Tomatoes, grape, raw",Vitamin C,30.2
"Flour, wheat, all-purpose, enriched, unbleached",Iron,30.1
"Oats, whole grain, rolled, old fashioned",Magnesium,30.0
"Rice, red, unenriched, dry, raw",Magnesium,30.0
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",Vitamin C,29.9
